Member Association,Confederation,Incoming transfers fees,Outgoing transfers fees,Transfers fees spent (USD),Transfers fees received (USD),Transfers Spent,Transfers received,Transfers Balance
England,UEFA,526,523,1.69bn,1.25bn,1690000000,1250000000,-440000000
Brazil,CONMEBOL,412,469,180m,278m,180000000,278000000,98000000
Portugal,UEFA,394,444,252m,495m,252000000,495000000,243000000
Spain,UEFA,374,454,599m,556m,599000000,556000000,-43000000
Germany,UEFA,345,343,572m,482m,572000000,482000000,-90000000
Italy,UEFA,336,320,825m,425m,825000000,425000000,-400000000
France,UEFA,315,411,697m,756m,697000000,756000000,59000000
Netherlands,UEFA,232,229,103m,196m,103000000,196000000,93000000
Türkiye,UEFA,213,166,134m,73.9m,134000000,73900000,-60100000
Belgium,UEFA,207,279,110m,412m,110000000,412000000,302000000
Argentina,CONMEBOL,187,239,54.8m,184m,54800000,184000000,129200000
Romania,UEFA,172,104,7.64m,23.7m,7640000,23700000,16060000
Cyprus,UEFA,169,136,4.08m,3.76m,4080000,3760000,-320000
Poland,UEFA,169,129,11.1m,49.1m,11100000,49100000,38000000
Serbia,UEFA,168,159,24.9m,47.8m,24900000,47800000,22900000
Denmark,UEFA,162,153,54.3m,152m,54300000,152000000,97700000
Austria,UEFA,155,168,44.6m,86.3m,44600000,86300000,41700000
Greece,UEFA,155,198,51.3m,38.2m,51300000,38200000,-13100000
Sweden,UEFA,146,104,8.34m,82.4m,8340000,82400000,74060000
Malta,UEFA,139,79,37.6k,93.4k,37600,93400,55800
Croatia,UEFA,136,147,5.82m,21.7m,5820000,21700000,15880000
Albania,UEFA,135,68,0,2.48m,0,2480000,2480000
Indonesia,AFC,133,35,249k,0,249000,0,-249000
Switzerland,UEFA,129,142,35.6m,67.9m,35600000,67900000,32300000
Saudi Arabia,AFC,128,95,431m,27.6m,431000000,27600000,-403400000
Bulgaria,UEFA,125,102,8.11m,15.5m,8109999,15500000,7390001
Russia,UEFA,116,110,76.2m,30.3m,76200000,30300000,-45900000
USA,Concacaf,111,129,76.5m,104m,76500000,104000000,27500000
Armenia,UEFA,107,51,0,119k,0,119000,119000
Uruguay,CONMEBOL,104,94,2m,35.4m,2000000,35400000,33400000
Ecuador,CONMEBOL,103,77,1.54m,7.16m,1540000,7160000,5620000
Czechia,UEFA,101,103,17.2m,46.4m,17200000,46400000,29200000
Colombia,CONMEBOL,99,178,1.98m,29.4m,1980000,29400000,27420000
Slovakia,UEFA,97,108,5.25m,4.81m,5250000,4810000,-440000
"Bosnia and
Herzegovina",UEFA,97,89,232k,2.14m,232000,2140000,1908000
Mexico,Concacaf,94,70,62.6m,44.6m,62600000,44600000,-18000000
Norway,UEFA,91,68,15.1m,51.7m,15100000,51700000,36600000
Thailand,AFC,91,50,0,0,0,0,0
"United Arab
Emirates",AFC,89,80,35.9m,317k,35900000,317000,-35583000
India,AFC,87,28,89.4k,0,89400,0,-89400
Venezuela,CONMEBOL,86,52,0,4.03m,0,4030000,4030000
,,81,60,139k,1.46m,139000,1460000,1321000
Israel,UEFA,80,84,6.22m,23.2m,6220000,23200000,16980000
Slovenia,UEFA,78,104,1.26m,11m,1260000,11000000,9740000
Japan,AFC,70,67,8.96m,20.8m,8960000,20800000,11840000
Hungary,UEFA,70,90,12m,26.7m,12000000,26700000,14700000
Georgia,UEFA,70,51,139k,3.02m,139000,3020000,2881000
Azerbaijan,UEFA,70,41,4.33m,0,4330000,0,-4330000
Andorra,UEFA,70,18,0,0,0,0,0
Luxembourg,UEFA,67,36,17.7k,482k,17700,482000,464300
Rwanda,CAF,63,20,245k,0,245000,0,-245000
Ukraine,UEFA,63,48,6.34m,14m,6340000,14000000,7660000
Ghana,CAF,62,86,7.45k,3.96m,7450,3960000,3952550
Guatemala,Concacaf,62,35,0,60k,0,60000,60000
"North
Macedonia",UEFA,61,55,176k,599k,176000,599000,423000
Finland,UEFA,59,44,274k,3.75m,274000,3750000,3476000
Chile,CONMEBOL,58,36,2.6m,15.9m,2600000,15900000,13300000
Honduras,Concacaf,57,26,58k,0,58000,0,-58000
Algeria,CAF,55,19,2.6m,3.31m,2600000,3310000,710000
